f A
1503.53 103.923
1524.68 105.083
1531.73 104.89
1538.78 103.923
1549.35 103.729
1556.4 104.503
1566.98 105.083
1574.03 105.47
1588.13 105.856
1595.18 106.436
1609.28 105.663
1616.33 104.309
1630.43 104.116
1648.06 104.309
1662.16 104.503
1686.84 104.89
1697.41 105.47
1704.47 104.89
1715.04 106.05
1722.09 105.47
1725.62 106.63
1736.19 104.89
1760.87 106.05
1771.45 107.79
1785.55 107.983
1803.17 108.177
1813.75 108.564
1824.32 109.337
1834.9 109.53
1845.48 111.851
1859.58 113.398
1873.68 114.171
1884.25 115.912
1891.3 116.298
1905.41 117.845
1919.51 119.779
1933.61 122.099
1944.18 124.613
1954.76 130.028
1968.86 139.503
1982.96 148.978
1993.54 154.586
2004.11 151.105
2018.21 137.956
2028.79 130.414
2042.89 126.547
2053.47 122.873
2064.04 119.972
2081.67 118.619
2085.19 116.685
2106.35 116.685
2123.97 116.298
2138.07 116.105
2145.12 113.398
2159.22 113.785
2180.38 113.204
2187.43 111.464
2201.53 111.657
2208.58 113.785
2222.68 113.398
2229.73 112.431
2243.83 111.464
2261.46 111.851
2272.03 110.884
2286.13 111.657
2307.29 111.657
2324.91 111.077
2339.01 110.497
2349.59 109.53
2367.22 109.53
2395.42 109.337
2405.99 109.724
2427.14 109.724
2441.25 108.757
2451.82 108.37
2469.45 107.79
2483.55 107.017
2494.12 106.05
2511.75 106.63
2532.9 106.243
2547 105.663
2568.16 105.083
2596.36 104.503
2603.41 105.663
2624.56 104.696
2635.14 104.116
2663.34 103.729
2684.49 103.343
2702.12 103.729
2723.27 103.923
2740.89 104.116
2769.1 103.536
2793.77 102.956
2807.87 103.729
2825.5 104.309
2846.65 104.503
2850.18 102.956
2867.8 104.309
2878.38 104.89
2888.95 105.47
2903.06 106.436
2917.16 106.63
2931.26 105.856
2952.41 105.47
2973.56 105.083
2987.66 105.276
3005.29 105.663
3026.44 104.696
3040.54 103.923
3068.74 103.729
3089.89 103.149
3111.05 103.149
3132.2 103.729
3149.82 103.343
3170.98 103.343
3185.08 103.923
3209.75 104.503
3227.38 104.116
3252.06 104.309
3276.73 104.116
3290.83 104.89
3308.46 105.47
3329.61 105.663
3350.76 105.663
3368.39 104.696
3378.97 106.05
3389.54 107.017
3393.07 107.597
3410.69 108.177
3421.27 109.917
3435.37 112.818
3445.95 115.525
3460.05 118.425
3467.1 117.652
3484.72 114.751
3498.82 111.077
3502.35 107.79
3516.45 107.79
3537.6 108.177
3551.7 108.757
3583.43 109.724
3590.48 110.691
3608.11 111.464
3629.26 112.624
3643.36 113.011
3668.04 113.978
3671.56 115.912
3685.66 116.685
3703.29 115.718
3717.39 115.331
3742.07 117.072
3756.17 115.525
3763.22 116.878
3784.37 118.039
3802 119.972
3812.57 121.133
3823.15 122.099
3840.78 125.193
3851.35 126.547
3861.93 127.901
3876.03 129.834
3886.6 131.575
3897.18 134.282
3907.76 136.409
3921.86 136.989
3935.96 137.956
3946.53 143.95
3960.63 148.011
3974.74 149.558
3985.31 153.232
3995.89 151.878
4009.99 143.757
4017.04 135.249
4034.67 130.994
4045.24 128.094
4055.82 125.193
4069.92 123.646
4080.49 123.453
4094.59 121.906
4108.7 118.619
4115.75 115.331
4129.85 116.492
4143.95 115.525
4147.47 114.171
4161.57 113.591
4186.25 113.978
4200.35 114.751
4214.45 115.331
4225.03 116.492
4235.61 117.652
4246.18 118.812
4260.28 120.166
4274.38 120.939
4299.06 121.519
4323.74 121.519
4327.26 119.779
4330.79 117.265
4355.46 116.878
4380.14 116.685
4383.67 115.525
4401.29 114.751
4418.92 115.912
4433.02 116.492
4464.75 116.685
4485.9 115.912
4496.47 112.624
